Track,City,State,Zipcode,Address,Lat,Long,Phone,Email,Website,Rating (0:5),No. Reviews,Operation Hours,Amenities/Services,\n
BWS&Raceway,Moreno&Valley,California,92555,28845&Stevens&Ave.,33.9199,-117.16,(951) 442-5589,ibwrightback@yahoo.com,https://rcgarage.info/Track/1696,5/5,12,,,\n
FAFO&Hobbies,Perdido,Alabama,null,null,null,null,(785) 806-2842,ontimeprinting.251@gmail.com,https://www.otp-fafohobbies.com/,0/5,0,,,\n
Lagoon&Park&Raceway,Montgomery,Alabama,36109,2730&Lagoon&Park&Dr&Montgomery&AL&United&States&Alabama&36109,32.40027066,-86.22284922,(334) 300-6977,null,http://www.lagoonparkraceway.org/,4.6/5,19,,,\n
OnTrack&Raceway,Theodore,Alabama,36582,5989&Hwy&90&Theodore&AL&United&States&Alabama,30.54071927,-88.17937063,(251) 298-7080,info@ontrackrc.com,https://www.ontrackraceway.com/,null,null,Monday: CLOSED ; Tuesday: 5:30 PM - 8:30 PM ; Wednesday:5:30 PM - 8:30 PM ; Thursday: 5:30 PM - 8:30 PM ; Friday: 5:30 PM - 9:00 PM ; Saturday: 10:00 AM - 8:00 PM ; Sunday: CLOSED ,In-store pickup,\n
SHARC,Tuscumbia,Alabama,35674,"2086 Missouri Street Tuscumbia AL, 35674",34.69752278,-87.66139677,(256) 627-9708,dj_chill_will@bellsouth.net,https://rctracks.io/rc-tracks/united-states/alabama/tuscumbia/s-h-a-r-c-steve-raddatz-memorial-raceway/,4/5,55,Always open,,\n
Lil&Dega&RC&Dirt&Oval,Eastaboga,Alabama,36260,83&Dulaney&Drive&Eastaboga&AL&United&States&Alabama,33.62264928,-86.01791793,(256) 310-4772,jonyreb96@aol.com,https://www.rcgtiming.com/Track/3271,4/5,5,Always open,,\n
Triple J's Hobby Works,Anchorage,Alaska,99502,"5566 Big Bend Loop, Anchorage, AK 99502",61.14529802,-149.985987,null,graveljay@gmail.com,https://rcgarage.info/Track/3059,null,null,null,,\n
Adobe Mountain R/C Speedway,Phoenix,Arizona,85308,"22602 N 43rd Ave Phoenix, AZ 85308",33.69021518,-112.1532713,(623) 341-5644,info@adobemountainspeedway.com ,https://www.adobemountainspeedway.com/rc-racing,null,null,null,,\n
Big O RC Speedway,Marana,Arizona,85743,"9975 N Casa Grande Hwy. Marana, AZ 85743",32.38741333,-111.1177883,(805) 406-8487,"joe_myers@email.com, joe@southwesttour.com",https://southwesttour.com/bigospeedway/,null,null,Saturday:Pits open: 4:00pm;Grandstands open: 5:00pm;Draw closes: 6:00pm;Drivers Meeting: 6:00pm;Hot Laps: 6:30pm;Late Model Qualifying: 6:50pm;Racing: 7:00pm,"a multi venue that hosts concerts, dirt racing of many forms of vehicles, swap meets, car shows, flea markets, etc..",\n
Fear Farm RC Raceway,Phoenix,Arizona,85037,"2209 N 99th Ave, Phoenix, AZ 85037",33.47821243,-112.2673716,(623) 341-5644,timlime@me.com,https://www.therczone.com/tracks/771-fear-farm-r-c-raceway,4.3/5,402,,"Outdoor patio, Cafe. ",\n
Hobby Action RC Raceway,Chandler,Arizona,85226,"855 North 54th Street, Chandler, AZ, United States, Arizona 85226",33.32329409,-111.9666289,(480) 781-2251,sales@hobbyaction.com,https://www.hobbyaction.net/,4.1/5,602,Monday: 10:00 AM - 7:00 PM;Tuesday: 10:00 AM - 7:00 PM;Wednesday: 10:00 AM - 7:00 PM;Thursday: 10:00 AM - 7:00 PM;Friday: 10:00 AM - 7:00 PM;Saturday: 10:00 AM - 5:00 PM;Sunday: 10:00 AM - 5:00 PM,In-store pickup / shopping,\n
Hot Rock Hobbies,Lake Havasu,Arizona,86406,"2886 Sweetwater Ave, Lake Havasu City, AZ 86406",34.4548575,-114.2901128,(928) 453-7111,hotrockhobbies@outlook.com,https://www.promatchracing.net/,5/5,31,Monday: CLOSED;Tuesday: CLOSED;Wednesday: 10:00 AM - 4:00 PM;Thursday: 10:00 AM - 4:00 PM;Friday: 10:00 AM - 4:00 PM;Saturday: 10:00 AM - 4:00 PM;Sunday: CLOSED,In-store pickup / shopping,\n
M&M Mile RC,Glendale,Arizona,85308,"7116 W Libby St Glendale, AZ 85308",33.64692758,-112.2124366,null,mmmilerc@gmail.com,https://mmmilerc.liverc.com/,null,null,null,,\n
Prescott Valley RC,Prescott Valley,Arizona,86315,"10401 AZ-89A, Prescott Valley, AZ 86315",34.6514361,-112.2800867,(928) 775-4071,wes@pvrc.ca,https://copperstaterc.com/venue/pvrc/,null,null,Monday: Closed;Tuesday: 10:00 am – 06:00 pm;Wednesday: 10:00 am – 06:00 pm;Thursday: 10:00 am – 06:00 pm;Friday: 10:00 am – 06:00 pm;Saturday: 10:00 am – 06:00 pm;Sunday: Closed,,\n
Tandem Drift,Mesa,Arizona,85202,"2909 S Dobson Rd Suite 19, Mesa, AZ, United States, Arizona 85202",33.36252993,-111.8758305,(602) 695-1571,tandemrcdrift@gmail.com,https://tandemrc.com/,5/5,8,Monday - CLOSED;Tuesday - 12pm - 8pm;Wednesday - 12pm - 10pm;Thursday - 1pm - 8pm;Friday - 12pm - 10pm;Saturday - 12pm - 10pm;Sunday - 11am - 8pm,,\n
The Nitro Compound,Maricopa,Arizona,85139,"21449 N Tijeras Rd, Maricopa, AZ 85139",33.07395733,-112.1990322,(480) 612-2715,tonymreco@gmail.com,https://nitrocompound.liverc.com/,null,null,null,Dirt and pavement tracks,\n
WORC,Surprise,Arizona,85378,"12851 W. Bell Road Suite 110, Surprise AZ 85378",33.64305419,-112.3378346,(623)-251-1080,azturnandburnrc@gmail.com,https://www.azturnandburn.com/,null,null,null,,\n
FORC Raceway,Jonesboro,Arkansas,72401,"5917 E. Johnson Ave. , Jonesboro, AR, United States, Arkansas 72401",35.86334625,-90.61756979,(870) 926-6147,neahobbies@gmail.com,https://forc.liverc.com/,4.4/5,51,Monday - CLOSED;Tuesday - 5:00 PM - 10:00 PM;Wednesday - CLOSED;Thursday - CLOSED;Friday - CLOSED;Saturday - 10:00 AM - 8:00 PM;Sunday - CLOSED,,\n
GS Hobby/Gspeed Raceway,Barling,Arkansas,72923,"2003 Fort St, Barling, AR, United States, Arkansas 72923",35.3361179,-94.31746213,(479) 648-1994,gshobby@gshobby.com,https://gshobby.com/,4.6/5,116,Monday - 10:00 AM - 6:00 PM;Tuesday - 10:00 AM - 6:00 PM;Wednesday - 10:00 AM - 6:00 PM;Thursday - 10:00 AM - 6:00 PM;Friday - 10:00 AM - 6:00 PM;Saturday - 10:00 AM - 4:00 PM;Sunday - CLOSED,In-store pickup,\n
NWA R/C Raceway,Rogers,Arkansas,72756,"1604 Acorn Dr , Rogers, AR, United States, Arkansas 72756",36.3577084,-94.14115702,(479) 621-0133,nwarcraceway@gmail.com,https://nwaraceway.liverc.com/,4.6/5,345,Monday - CLOSED;Tuesday - CLOSED;Wednesday - 11:00 AM - 7:00 PM;Thursday - 11:00 AM - 7:00 PM;Friday - 11:00 AM - 7:00 PM;Saturday - 11:00 AM - 7:00 PM;Sunday - CLOSED,,\n
The Bullring RC Raceway,Brookland,Arkansas,72417,"407 CR 953 Brookland, AR 72417",35.94568294,-90.56562673,(870) 284-0007,zachjaynes@gmail.com,https://bullring.liverc.com/,4.5/5,15,Monday - CLOSED;Tuesday - 4:30 PM - 10:00 PM;Wednesday - CLOSED;Thursday - CLOSED;Friday - CLOSED;Saturday - 3:30 PM - 10:00 PM;Sunday - CLOSED,,\n
VPRC Raceway,Alexander,Arkansas,72002,"14400 Pikewood Rd Alexander, AR 72002",35.94571769,-90.56560527,null,null,https://vprc.liverc.com/,null,null,null,Outdoor seating,\n
